
======================================================================
Experiment: 307_dnn_lr_0_001_scheduler_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 1 | 028/200 | loss: 0.3748/0.4177 | acc: 0.8489/0.8112 | lr: 0.00025000 
Fold 1 | 029/200 | loss: 0.3786/0.4175 | acc: 0.8629/0.8182 | lr: 0.00025000 
Fold 1 | Early stopping on epoch 29
Fold 1 | 014/200 | loss: 0.4084/0.4124 | acc: 0.8418/0.8252 | lr: 0.00100000
Fold 1 | Best epoch: 14 | Best validation loss: 0.4124
Fold 1 | Accuracy: 0.8252 | Best epoch: 14 | Best loss: 0.4124

Fold 3/5
Fold 2 | 001/200 | loss: 0.7068/0.6865 | acc: 0.4193/0.5986 | lr: 0.00100000 *
Fold 2 | 002/200 | loss: 0.6711/0.6502 | acc: 0.6719/0.6972 | lr: 0.00100000 *
Fold 2 | 003/200 | loss: 0.6306/0.6057 | acc: 0.7228/0.7113 | lr: 0.00100000 *
Fold 2 | 004/200 | loss: 0.5784/0.5574 | acc: 0.7351/0.7254 | lr: 0.00100000 *
Fold 2 | 005/200 | loss: 0.5291/0.5179 | acc: 0.7491/0.7394 | lr: 0.00100000 *
Fold 2 | 006/200 | loss: 0.4945/0.4816 | acc: 0.7754/0.7958 | lr: 0.00100000 *
Fold 2 | 007/200 | loss: 0.4677/0.4637 | acc: 0.7877/0.8099 | lr: 0.00100000 *
Fold 2 | 008/200 | loss: 0.4358/0.4478 | acc: 0.8123/0.8239 | lr: 0.00100000 *
Fold 2 | 009/200 | loss: 0.4418/0.4346 | acc: 0.8140/0.8310 | lr: 0.00100000 *
Fold 2 | 010/200 | loss: 0.4158/0.4307 | acc: 0.8175/0.8310 | lr: 0.00100000 *
Fold 2 | 011/200 | loss: 0.4230/0.4361 | acc: 0.8263/0.8310 | lr: 0.00100000 
Fold 2 | 012/200 | loss: 0.4041/0.4353 | acc: 0.8404/0.8239 | lr: 0.00100000 
Fold 2 | 013/200 | loss: 0.4009/0.4314 | acc: 0.8439/0.8239 | lr: 0.00100000 
Fold 2 | 014/200 | loss: 0.3900/0.4273 | acc: 0.8421/0.8451 | lr: 0.00100000 *
Fold 2 | 015/200 | loss: 0.3930/0.4264 | acc: 0.8404/0.8310 | lr: 0.00100000 *
Fold 2 | 016/200 | loss: 0.3911/0.4310 | acc: 0.8421/0.8451 | lr: 0.00100000 
Fold 2 | 017/200 | loss: 0.3927/0.4281 | acc: 0.8386/0.8451 | lr: 0.00100000 
Fold 2 | 018/200 | loss: 0.3942/0.4293 | acc: 0.8298/0.8451 | lr: 0.00100000 
Fold 2 | 019/200 | loss: 0.3926/0.4254 | acc: 0.8439/0.8451 | lr: 0.00100000 *
Fold 2 | 020/200 | loss: 0.3948/0.4282 | acc: 0.8421/0.8662 | lr: 0.00100000 
Fold 2 | 021/200 | loss: 0.3824/0.4292 | acc: 0.8596/0.8451 | lr: 0.00100000 
Fold 2 | 022/200 | loss: 0.3849/0.4327 | acc: 0.8491/0.8521 | lr: 0.00100000 
Fold 2 | 023/200 | loss: 0.3802/0.4302 | acc: 0.8596/0.8592 | lr: 0.00100000 
Fold 2 | 024/200 | loss: 0.3774/0.4325 | acc: 0.8421/0.8592 | lr: 0.00100000 
Fold 2 | 025/200 | loss: 0.3818/0.4272 | acc: 0.8474/0.8592 | lr: 0.00100000 
Fold 2 | 026/200 | loss: 0.3759/0.4297 | acc: 0.8404/0.8592 | lr: 0.00050000 
Fold 2 | 027/200 | loss: 0.3692/0.4301 | acc: 0.8561/0.8521 | lr: 0.00050000 
Fold 2 | 028/200 | loss: 0.3796/0.4301 | acc: 0.8456/0.8592 | lr: 0.00050000 
Fold 2 | 029/200 | loss: 0.3597/0.4310 | acc: 0.8579/0.8592 | lr: 0.00050000 
Fold 2 | 030/200 | loss: 0.3722/0.4341 | acc: 0.8561/0.8521 | lr: 0.00050000 
Fold 2 | 031/200 | loss: 0.3738/0.4335 | acc: 0.8526/0.8592 | lr: 0.00050000 
Fold 2 | 032/200 | loss: 0.3742/0.4328 | acc: 0.8614/0.8592 | lr: 0.00025000 
Fold 2 | 033/200 | loss: 0.3708/0.4331 | acc: 0.8439/0.8592 | lr: 0.00025000 
Fold 2 | 034/200 | loss: 0.3778/0.4326 | acc: 0.8579/0.8521 | lr: 0.00025000 
Fold 2 | Early stopping on epoch 34
Fold 2 | 019/200 | loss: 0.3926/0.4254 | acc: 0.8439/0.8451 | lr: 0.00100000
Fold 2 | Best epoch: 19 | Best validation loss: 0.4254
Fold 2 | Accuracy: 0.8451 | Best epoch: 19 | Best loss: 0.4254

Fold 4/5
Fold 3 | 001/200 | loss: 0.7090/0.6903 | acc: 0.3930/0.5070 | lr: 0.00100000 *
Fold 3 | 002/200 | loss: 0.6748/0.6553 | acc: 0.6579/0.7183 | lr: 0.00100000 *
Fold 3 | 003/200 | loss: 0.6329/0.6076 | acc: 0.7175/0.6901 | lr: 0.00100000 *
Fold 3 | 004/200 | loss: 0.5882/0.5515 | acc: 0.7439/0.7042 | lr: 0.00100000 *
Fold 3 | 005/200 | loss: 0.5349/0.5022 | acc: 0.7474/0.7394 | lr: 0.00100000 *
Fold 3 | 006/200 | loss: 0.5076/0.4593 | acc: 0.7667/0.7958 | lr: 0.00100000 *
Fold 3 | 007/200 | loss: 0.4785/0.4315 | acc: 0.8018/0.8099 | lr: 0.00100000 *
Fold 3 | 008/200 | loss: 0.4619/0.4102 | acc: 0.8053/0.8099 | lr: 0.00100000 *
Fold 3 | 009/200 | loss: 0.4416/0.4002 | acc: 0.8175/0.8028 | lr: 0.00100000 *
Fold 3 | 010/200 | loss: 0.4391/0.3943 | acc: 0.8263/0.8099 | lr: 0.00100000 *
Fold 3 | 011/200 | loss: 0.4333/0.3792 | acc: 0.8316/0.8310 | lr: 0.00100000 *
Fold 3 | 012/200 | loss: 0.4271/0.3725 | acc: 0.8316/0.8380 | lr: 0.00100000 *
Fold 3 | 013/200 | loss: 0.4194/0.3661 | acc: 0.8281/0.8380 | lr: 0.00100000 *
Fold 3 | 014/200 | loss: 0.4197/0.3633 | acc: 0.8246/0.8380 | lr: 0.00100000 *
Fold 3 | 015/200 | loss: 0.4272/0.3614 | acc: 0.8263/0.8380 | lr: 0.00100000 *
Fold 3 | 016/200 | loss: 0.4141/0.3595 | acc: 0.8386/0.8380 | lr: 0.00100000 *
Fold 3 | 017/200 | loss: 0.4044/0.3550 | acc: 0.8474/0.8380 | lr: 0.00100000 *
Fold 3 | 018/200 | loss: 0.4120/0.3527 | acc: 0.8263/0.8451 | lr: 0.00100000 *
Fold 3 | 019/200 | loss: 0.3921/0.3487 | acc: 0.8456/0.8521 | lr: 0.00100000 *
Fold 3 | 020/200 | loss: 0.4080/0.3465 | acc: 0.8316/0.8451 | lr: 0.00100000 *
Fold 3 | 021/200 | loss: 0.4005/0.3422 | acc: 0.8298/0.8451 | lr: 0.00100000 *
Fold 3 | 022/200 | loss: 0.3907/0.3404 | acc: 0.8544/0.8521 | lr: 0.00100000 *
Fold 3 | 023/200 | loss: 0.3978/0.3399 | acc: 0.8351/0.8592 | lr: 0.00100000 *
Fold 3 | 024/200 | loss: 0.3946/0.3364 | acc: 0.8404/0.8592 | lr: 0.00100000 *
Fold 3 | 025/200 | loss: 0.4034/0.3395 | acc: 0.8333/0.8592 | lr: 0.00100000 
Fold 3 | 026/200 | loss: 0.3808/0.3378 | acc: 0.8561/0.8592 | lr: 0.00100000 
Fold 3 | 027/200 | loss: 0.3879/0.3361 | acc: 0.8439/0.8662 | lr: 0.00100000 *
Fold 3 | 028/200 | loss: 0.3916/0.3360 | acc: 0.8368/0.8662 | lr: 0.00100000 
Fold 3 | 029/200 | loss: 0.3842/0.3378 | acc: 0.8474/0.8521 | lr: 0.00100000 
Fold 3 | 030/200 | loss: 0.3931/0.3369 | acc: 0.8404/0.8662 | lr: 0.00100000 
Fold 3 | 031/200 | loss: 0.3828/0.3384 | acc: 0.8439/0.8592 | lr: 0.00100000 
Fold 3 | 032/200 | loss: 0.3839/0.3359 | acc: 0.8456/0.8732 | lr: 0.00100000 *
Fold 3 | 033/200 | loss: 0.3968/0.3368 | acc: 0.8474/0.8662 | lr: 0.00100000 
Fold 3 | 034/200 | loss: 0.3859/0.3396 | acc: 0.8509/0.8662 | lr: 0.00100000 
Fold 3 | 035/200 | loss: 0.3763/0.3375 | acc: 0.8596/0.8592 | lr: 0.00100000 
Fold 3 | 036/200 | loss: 0.3747/0.3375 | acc: 0.8526/0.8732 | lr: 0.00100000 
Fold 3 | 037/200 | loss: 0.3878/0.3395 | acc: 0.8491/0.8592 | lr: 0.00100000 
Fold 3 | 038/200 | loss: 0.3832/0.3344 | acc: 0.8404/0.8662 | lr: 0.00100000 *
Fold 3 | 039/200 | loss: 0.3802/0.3365 | acc: 0.8439/0.8592 | lr: 0.00100000 
Fold 3 | 040/200 | loss: 0.3858/0.3383 | acc: 0.8439/0.8592 | lr: 0.00100000 
Fold 3 | 041/200 | loss: 0.3757/0.3354 | acc: 0.8456/0.8592 | lr: 0.00100000 
Fold 3 | 042/200 | loss: 0.3782/0.3354 | acc: 0.8544/0.8592 | lr: 0.00100000 
Fold 3 | 043/200 | loss: 0.3875/0.3350 | acc: 0.8474/0.8592 | lr: 0.00100000 
Fold 3 | 044/200 | loss: 0.3822/0.3360 | acc: 0.8439/0.8592 | lr: 0.00100000 
