
======================================================================
Experiment: 308_dnn_64_32_16_lr_0_001_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 1 | 015/200 | loss: 0.4722/0.4539 | acc: 0.8260/0.8322 | lr: 0.00030000 *
Fold 1 | 016/200 | loss: 0.4601/0.4419 | acc: 0.8190/0.8182 | lr: 0.00030000 *
Fold 1 | 017/200 | loss: 0.4627/0.4357 | acc: 0.8120/0.8112 | lr: 0.00030000 *
Fold 1 | 018/200 | loss: 0.4458/0.4303 | acc: 0.8190/0.8182 | lr: 0.00030000 *
Fold 1 | 019/200 | loss: 0.4429/0.4267 | acc: 0.8207/0.8252 | lr: 0.00030000 *
Fold 1 | 020/200 | loss: 0.4358/0.4234 | acc: 0.8260/0.8252 | lr: 0.00030000 *
Fold 1 | 021/200 | loss: 0.4253/0.4203 | acc: 0.8278/0.8252 | lr: 0.00030000 *
Fold 1 | 022/200 | loss: 0.4181/0.4192 | acc: 0.8295/0.8322 | lr: 0.00030000 *
Fold 1 | 023/200 | loss: 0.4136/0.4183 | acc: 0.8506/0.8252 | lr: 0.00030000 *
Fold 1 | 024/200 | loss: 0.4318/0.4157 | acc: 0.8225/0.8252 | lr: 0.00030000 *
Fold 1 | 025/200 | loss: 0.3999/0.4138 | acc: 0.8313/0.8182 | lr: 0.00030000 *
Fold 1 | 026/200 | loss: 0.4173/0.4130 | acc: 0.8383/0.8252 | lr: 0.00030000 *
Fold 1 | 027/200 | loss: 0.3960/0.4121 | acc: 0.8330/0.8252 | lr: 0.00030000 *
Fold 1 | 028/200 | loss: 0.4058/0.4119 | acc: 0.8436/0.8252 | lr: 0.00030000 *
Fold 1 | 029/200 | loss: 0.4100/0.4114 | acc: 0.8383/0.8182 | lr: 0.00030000 *
Fold 1 | 030/200 | loss: 0.3922/0.4110 | acc: 0.8313/0.8252 | lr: 0.00030000 *
Fold 1 | 031/200 | loss: 0.4093/0.4115 | acc: 0.8471/0.8322 | lr: 0.00030000 
Fold 1 | 032/200 | loss: 0.4085/0.4115 | acc: 0.8348/0.8322 | lr: 0.00030000 
Fold 1 | 033/200 | loss: 0.3958/0.4109 | acc: 0.8330/0.8182 | lr: 0.00030000 *
Fold 1 | 034/200 | loss: 0.4008/0.4135 | acc: 0.8489/0.8252 | lr: 0.00030000 
Fold 1 | 035/200 | loss: 0.3895/0.4120 | acc: 0.8524/0.8252 | lr: 0.00030000 
Fold 1 | 036/200 | loss: 0.3927/0.4114 | acc: 0.8524/0.8322 | lr: 0.00030000 
Fold 1 | 037/200 | loss: 0.3826/0.4128 | acc: 0.8471/0.8182 | lr: 0.00030000 
Fold 1 | 038/200 | loss: 0.3929/0.4139 | acc: 0.8418/0.8112 | lr: 0.00030000 
Fold 1 | 039/200 | loss: 0.3840/0.4133 | acc: 0.8524/0.8112 | lr: 0.00015000 
Fold 1 | 040/200 | loss: 0.3757/0.4134 | acc: 0.8506/0.8112 | lr: 0.00015000 
Fold 1 | 041/200 | loss: 0.4007/0.4141 | acc: 0.8383/0.8112 | lr: 0.00015000 
Fold 1 | 042/200 | loss: 0.3786/0.4143 | acc: 0.8436/0.8112 | lr: 0.00015000 
Fold 1 | 043/200 | loss: 0.3830/0.4147 | acc: 0.8471/0.8112 | lr: 0.00015000 
Fold 1 | 044/200 | loss: 0.3939/0.4148 | acc: 0.8366/0.8042 | lr: 0.00007500 
Fold 1 | 045/200 | loss: 0.4024/0.4147 | acc: 0.8524/0.8042 | lr: 0.00007500 
Fold 1 | 046/200 | loss: 0.3791/0.4150 | acc: 0.8524/0.8042 | lr: 0.00007500 
Fold 1 | 047/200 | loss: 0.3939/0.4145 | acc: 0.8436/0.8042 | lr: 0.00007500 
Fold 1 | 048/200 | loss: 0.3920/0.4146 | acc: 0.8524/0.8042 | lr: 0.00007500 
Fold 1 | Early stopping on epoch 48
Fold 1 | 033/200 | loss: 0.3958/0.4109 | acc: 0.8330/0.8182 | lr: 0.00030000
Fold 1 | Best epoch: 33 | Best validation loss: 0.4109
Fold 1 | Accuracy: 0.8182 | Best epoch: 33 | Best loss: 0.4109

Fold 3/5
Fold 2 | 001/200 | loss: 0.6834/0.6818 | acc: 0.6175/0.6127 | lr: 0.00030000 *
Fold 2 | 002/200 | loss: 0.6802/0.6791 | acc: 0.6175/0.6127 | lr: 0.00030000 *
Fold 2 | 003/200 | loss: 0.6774/0.6763 | acc: 0.6175/0.6127 | lr: 0.00030000 *
Fold 2 | 004/200 | loss: 0.6740/0.6728 | acc: 0.6175/0.6127 | lr: 0.00030000 *
Fold 2 | 005/200 | loss: 0.6679/0.6678 | acc: 0.6193/0.6127 | lr: 0.00030000 *
Fold 2 | 006/200 | loss: 0.6629/0.6603 | acc: 0.6246/0.6127 | lr: 0.00030000 *
Fold 2 | 007/200 | loss: 0.6552/0.6502 | acc: 0.6333/0.6127 | lr: 0.00030000 *
Fold 2 | 008/200 | loss: 0.6418/0.6359 | acc: 0.6456/0.6479 | lr: 0.00030000 *
Fold 2 | 009/200 | loss: 0.6233/0.6176 | acc: 0.6807/0.6831 | lr: 0.00030000 *
Fold 2 | 010/200 | loss: 0.6005/0.5926 | acc: 0.7000/0.7113 | lr: 0.00030000 *
Fold 2 | 011/200 | loss: 0.5712/0.5640 | acc: 0.7211/0.7324 | lr: 0.00030000 *
Fold 2 | 012/200 | loss: 0.5459/0.5358 | acc: 0.7351/0.7535 | lr: 0.00030000 *
Fold 2 | 013/200 | loss: 0.5152/0.5089 | acc: 0.7912/0.7746 | lr: 0.00030000 *
Fold 2 | 014/200 | loss: 0.5029/0.4859 | acc: 0.8070/0.8099 | lr: 0.00030000 *
Fold 2 | 015/200 | loss: 0.4673/0.4688 | acc: 0.8193/0.8310 | lr: 0.00030000 *
Fold 2 | 016/200 | loss: 0.4529/0.4585 | acc: 0.8105/0.8380 | lr: 0.00030000 *
Fold 2 | 017/200 | loss: 0.4553/0.4499 | acc: 0.8123/0.8451 | lr: 0.00030000 *
Fold 2 | 018/200 | loss: 0.4469/0.4476 | acc: 0.8140/0.8380 | lr: 0.00030000 *
Fold 2 | 019/200 | loss: 0.4429/0.4402 | acc: 0.8123/0.8451 | lr: 0.00030000 *
Fold 2 | 020/200 | loss: 0.4287/0.4358 | acc: 0.8316/0.8451 | lr: 0.00030000 *
Fold 2 | 021/200 | loss: 0.4255/0.4331 | acc: 0.8333/0.8451 | lr: 0.00030000 *
Fold 2 | 022/200 | loss: 0.4209/0.4310 | acc: 0.8351/0.8451 | lr: 0.00030000 *
Fold 2 | 023/200 | loss: 0.4263/0.4308 | acc: 0.8316/0.8451 | lr: 0.00030000 *
Fold 2 | 024/200 | loss: 0.4085/0.4302 | acc: 0.8246/0.8451 | lr: 0.00030000 *
Fold 2 | 025/200 | loss: 0.4148/0.4266 | acc: 0.8491/0.8451 | lr: 0.00030000 *
Fold 2 | 026/200 | loss: 0.3996/0.4278 | acc: 0.8368/0.8521 | lr: 0.00030000 
Fold 2 | 027/200 | loss: 0.4239/0.4280 | acc: 0.8211/0.8451 | lr: 0.00030000 
Fold 2 | 028/200 | loss: 0.3996/0.4255 | acc: 0.8386/0.8451 | lr: 0.00030000 *
Fold 2 | 029/200 | loss: 0.4106/0.4247 | acc: 0.8386/0.8451 | lr: 0.00030000 *
Fold 2 | 030/200 | loss: 0.3925/0.4269 | acc: 0.8404/0.8451 | lr: 0.00030000 
Fold 2 | 031/200 | loss: 0.4115/0.4251 | acc: 0.8333/0.8451 | lr: 0.00030000 
