
======================================================================
Experiment: 309_dnn_64_32_16_lr_0_001
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 3 | 020/200 | loss: 0.4126/0.3392 | acc: 0.8474/0.8732 | lr: 0.00100000 
Fold 3 | 021/200 | loss: 0.3923/0.3324 | acc: 0.8351/0.8732 | lr: 0.00100000 *
Fold 3 | 022/200 | loss: 0.4061/0.3299 | acc: 0.8509/0.8592 | lr: 0.00100000 *
Fold 3 | 023/200 | loss: 0.4107/0.3308 | acc: 0.8421/0.8592 | lr: 0.00100000 
Fold 3 | 024/200 | loss: 0.3982/0.3241 | acc: 0.8474/0.8662 | lr: 0.00100000 *
Fold 3 | 025/200 | loss: 0.3893/0.3268 | acc: 0.8456/0.8732 | lr: 0.00100000 
Fold 3 | 026/200 | loss: 0.3895/0.3284 | acc: 0.8526/0.8732 | lr: 0.00100000 
Fold 3 | 027/200 | loss: 0.3856/0.3233 | acc: 0.8579/0.8662 | lr: 0.00100000 *
Fold 3 | 028/200 | loss: 0.3988/0.3226 | acc: 0.8421/0.8662 | lr: 0.00100000 *
Fold 3 | 029/200 | loss: 0.3811/0.3289 | acc: 0.8456/0.8592 | lr: 0.00100000 
Fold 3 | 030/200 | loss: 0.3891/0.3229 | acc: 0.8491/0.8592 | lr: 0.00100000 
Fold 3 | 031/200 | loss: 0.4000/0.3268 | acc: 0.8526/0.8662 | lr: 0.00100000 
Fold 3 | 032/200 | loss: 0.3900/0.3270 | acc: 0.8474/0.8732 | lr: 0.00100000 
Fold 3 | 033/200 | loss: 0.3833/0.3213 | acc: 0.8509/0.8592 | lr: 0.00100000 *
Fold 3 | 034/200 | loss: 0.3822/0.3248 | acc: 0.8491/0.8521 | lr: 0.00100000 
Fold 3 | 035/200 | loss: 0.3748/0.3230 | acc: 0.8439/0.8592 | lr: 0.00100000 
Fold 3 | 036/200 | loss: 0.3838/0.3284 | acc: 0.8509/0.8592 | lr: 0.00100000 
Fold 3 | 037/200 | loss: 0.3783/0.3268 | acc: 0.8474/0.8521 | lr: 0.00100000 
Fold 3 | 038/200 | loss: 0.3785/0.3194 | acc: 0.8579/0.8732 | lr: 0.00100000 *
Fold 3 | 039/200 | loss: 0.3760/0.3221 | acc: 0.8632/0.8662 | lr: 0.00100000 
Fold 3 | 040/200 | loss: 0.3779/0.3274 | acc: 0.8509/0.8662 | lr: 0.00100000 
Fold 3 | 041/200 | loss: 0.3839/0.3207 | acc: 0.8561/0.8592 | lr: 0.00100000 
Fold 3 | 042/200 | loss: 0.3675/0.3219 | acc: 0.8526/0.8592 | lr: 0.00100000 
Fold 3 | 043/200 | loss: 0.3731/0.3256 | acc: 0.8544/0.8662 | lr: 0.00100000 
Fold 3 | 044/200 | loss: 0.3752/0.3247 | acc: 0.8632/0.8732 | lr: 0.00100000 
Fold 3 | 045/200 | loss: 0.3822/0.3216 | acc: 0.8439/0.8732 | lr: 0.00100000 
Fold 3 | 046/200 | loss: 0.3819/0.3194 | acc: 0.8456/0.8732 | lr: 0.00100000 
Fold 3 | 047/200 | loss: 0.3792/0.3221 | acc: 0.8509/0.8662 | lr: 0.00100000 
Fold 3 | 048/200 | loss: 0.3749/0.3235 | acc: 0.8561/0.8662 | lr: 0.00100000 
Fold 3 | 049/200 | loss: 0.3685/0.3180 | acc: 0.8632/0.8732 | lr: 0.00100000 *
Fold 3 | 050/200 | loss: 0.3657/0.3212 | acc: 0.8632/0.8732 | lr: 0.00100000 
Fold 3 | 051/200 | loss: 0.3566/0.3166 | acc: 0.8561/0.8592 | lr: 0.00100000 *
Fold 3 | 052/200 | loss: 0.3705/0.3199 | acc: 0.8614/0.8732 | lr: 0.00100000 
Fold 3 | 053/200 | loss: 0.3676/0.3188 | acc: 0.8509/0.8732 | lr: 0.00100000 
Fold 3 | 054/200 | loss: 0.3658/0.3184 | acc: 0.8596/0.8732 | lr: 0.00100000 
Fold 3 | 055/200 | loss: 0.3523/0.3207 | acc: 0.8632/0.8662 | lr: 0.00100000 
Fold 3 | 056/200 | loss: 0.3651/0.3159 | acc: 0.8649/0.8732 | lr: 0.00100000 *
Fold 3 | 057/200 | loss: 0.3551/0.3278 | acc: 0.8596/0.8592 | lr: 0.00100000 
Fold 3 | 058/200 | loss: 0.3599/0.3174 | acc: 0.8561/0.8732 | lr: 0.00100000 
Fold 3 | 059/200 | loss: 0.3631/0.3189 | acc: 0.8526/0.8732 | lr: 0.00100000 
Fold 3 | 060/200 | loss: 0.3640/0.3192 | acc: 0.8579/0.8732 | lr: 0.00100000 
Fold 3 | 061/200 | loss: 0.3539/0.3179 | acc: 0.8667/0.8732 | lr: 0.00100000 
Fold 3 | 062/200 | loss: 0.3497/0.3234 | acc: 0.8754/0.8662 | lr: 0.00100000 
Fold 3 | 063/200 | loss: 0.3712/0.3247 | acc: 0.8596/0.8662 | lr: 0.00100000 
Fold 3 | 064/200 | loss: 0.3500/0.3232 | acc: 0.8614/0.8732 | lr: 0.00100000 
Fold 3 | 065/200 | loss: 0.3375/0.3240 | acc: 0.8684/0.8732 | lr: 0.00100000 
Fold 3 | 066/200 | loss: 0.3519/0.3236 | acc: 0.8596/0.8732 | lr: 0.00100000 
Fold 3 | 067/200 | loss: 0.3485/0.3198 | acc: 0.8667/0.8732 | lr: 0.00100000 
Fold 3 | 068/200 | loss: 0.3537/0.3242 | acc: 0.8614/0.8732 | lr: 0.00100000 
