trial_number,cv_score,seed_cv_std,cv_std,seed_0_fold_seed,seed_0_cv_mean,seed_0_cv_std,seed_1_fold_seed,seed_1_cv_mean,seed_1_cv_std,seed_2_fold_seed,seed_2_cv_mean,seed_2_cv_std,mean_best_iteration,median_best_iteration,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,fold_5_score,fold_6_score,fold_7_score,fold_8_score,fold_9_score,fold_10_score,fold_11_score,fold_12_score,fold_13_score,fold_14_score,params_colsample_bytree,params_learning_rate,params_max_depth,params_reg_alpha,params_reg_lambda,params_subsample,state
32,0.8530089628681178,0.009526690481029209,0.021128556626918697,12648430,0.8623461045996257,0.026617215888444897,42,0.8399290849995076,0.014524924315922904,2026,0.8567516990052202,0.012145971052631363,185.73333333333332,196.0,0.8531468531468531,0.8811188811188811,0.8661971830985915,0.8943661971830986,0.8169014084507042,0.8181818181818182,0.8321678321678322,0.8591549295774648,0.852112676056338,0.8380281690140845,0.8531468531468531,0.8531468531468531,0.8380281690140845,0.8732394366197183,0.8661971830985915,0.8221743931747625,0.11465784400650175,2,0.1487179282785009,0.5875283334580657,0.8383683949098844,COMPLETE
34,0.8530089628681178,0.011233756634661822,0.024321205835096827,12648430,0.8609475032010243,0.030030605529988652,42,0.8371220328966809,0.016999387920097576,2026,0.8609573525066484,0.014323227195128635,177.2,68.0,0.8531468531468531,0.8741258741258742,0.8661971830985915,0.9014084507042254,0.8098591549295775,0.8111888111888111,0.8321678321678322,0.8591549295774648,0.852112676056338,0.8309859154929577,0.8671328671328671,0.8531468531468531,0.8380281690140845,0.8661971830985915,0.8802816901408451,0.8004978031733023,0.08281481262492582,2,0.07748362720753771,0.6904974397156357,0.8528921107101646,COMPLETE
26,0.8530089628681177,0.00734757319358235,0.02204537172472621,12648430,0.8567320003939722,0.02622438243459442,42,0.8427459864079582,0.01923631166164802,2026,0.8595489018024228,0.015436347609425097,254.8,189.0,0.8461538461538461,0.8741258741258742,0.852112676056338,0.8943661971830986,0.8169014084507042,0.8111888111888111,0.8391608391608392,0.8591549295774648,0.8661971830985915,0.8380281690140845,0.8601398601398601,0.8601398601398601,0.8309859154929577,0.8732394366197183,0.8732394366197183,0.8618370739675103,0.08163478774769818,2,0.1502971670928191,0.7148928836632656,0.8490887848462358,COMPLETE
78,0.8530056797662432,0.008276481687633444,0.02084427289047579,12648430,0.859529203191175,0.026805217755806944,42,0.841327686398109,0.012568462686343606,2026,0.8581601497094453,0.014881691314714023,219.46666666666667,179.0,0.8531468531468531,0.8811188811188811,0.852112676056338,0.8943661971830986,0.8169014084507042,0.8251748251748252,0.8321678321678322,0.8591549295774648,0.852112676056338,0.8380281690140845,0.8601398601398601,0.8461538461538461,0.8380281690140845,0.8802816901408451,0.8661971830985915,0.934852050092422,0.1170265822706758,2,0.10406171452535164,0.782437800150867,0.8237784607609804,COMPLETE
14,0.8530056797662432,0.010258376355931315,0.022655685765402844,12648430,0.8609475032010243,0.029003781931814937,42,0.8385206342952822,0.014975414947336336,2026,0.8595489018024228,0.012595833316182675,204.93333333333334,186.0,0.8461538461538461,0.8811188811188811,0.8591549295774648,0.9014084507042254,0.8169014084507042,0.8181818181818182,0.8321678321678322,0.8591549295774648,0.852112676056338,0.8309859154929577,0.8671328671328671,0.8531468531468531,0.8380281690140845,0.8732394366197183,0.8661971830985915,0.8292185364463691,0.10765516270604866,2,0.1099851788188978,0.5057073961514925,0.8342080787001404,COMPLETE
13,0.8530023966643685,0.009251192715425675,0.021493014924734224,12648430,0.859539052496799,0.028209886600865656,42,0.8399192356938837,0.013215243195944104,2026,0.8595489018024228,0.012595833316182675,140.06666666666666,64.0,0.8531468531468531,0.8741258741258742,0.8661971830985915,0.8943661971830986,0.8098591549295775,0.8181818181818182,0.8391608391608392,0.8591549295774648,0.8450704225352113,0.8380281690140845,0.8531468531468531,0.8671328671328671,0.8380281690140845,0.8732394366197183,0.8661971830985915,0.8015965001394316,0.11992751124367627,2,0.11942958101297067,0.5163902318737421,0.8037847923765933,COMPLETE
95,0.8530023966643684,0.00931548323316889,0.02395237233441758,12648430,0.8581306017925737,0.03348292271003026,42,0.8399290849995074,0.01382519773894607,2026,0.8609475032010241,0.012188992247538288,223.6,101.0,0.8461538461538461,0.8811188811188811,0.8591549295774648,0.9014084507042254,0.8028169014084507,0.8181818181818182,0.8321678321678322,0.8591549295774648,0.8450704225352113,0.8450704225352113,0.8601398601398601,0.8671328671328671,0.8380281690140845,0.8732394366197183,0.8661971830985915,0.8847337408860362,0.10105451331809719,2,0.19893084893450233,0.9360784522626073,0.851663588485418,COMPLETE
77,0.8525493286056666,0.009905863201278514,0.024738022521710614,12648430,0.859539052496799,0.02991628939800764,42,0.8385403329065302,0.02034866541908795,2026,0.8595686004136708,0.01524724046781316,229.6,86.0,0.8531468531468531,0.8741258741258742,0.8591549295774648,0.9014084507042254,0.8098591549295775,0.8041958041958042,0.8321678321678322,0.8591549295774648,0.8591549295774648,0.8380281690140845,0.8531468531468531,0.8531468531468531,0.8380281690140845,0.8732394366197183,0.8802816901408451,0.822114288744949,0.10278707609814274,2,0.1197144437104039,0.9806467162986992,0.8748723662583475,COMPLETE
67,0.852546045503792,0.009079172339687082,0.023108488907771636,12648430,0.8609573525066482,0.02932212227551283,42,0.8399389343051314,0.019089072350707476,2026,0.8567418496995961,0.01142510961566345,251.66666666666666,216.0,0.8531468531468531,0.8671328671328671,0.8591549295774648,0.9084507042253521,0.8169014084507042,0.8041958041958042,0.8391608391608392,0.8591549295774648,0.852112676056338,0.8450704225352113,0.8601398601398601,0.8531468531468531,0.8380281690140845,0.8591549295774648,0.8732394366197183,0.9758509839184598,0.09719505001160465,2,0.13512880251217588,0.5881723844960437,0.8793190725051008,COMPLETE
87,0.852546045503792,0.009903547413363611,0.02566907556484401,12648430,0.859529203191175,0.030928428755502183,42,0.83854033290653,0.022213003394122577,2026,0.8595686004136708,0.01524724046781316,321.26666666666665,155.0,0.8531468531468531,0.8811188811188811,0.852112676056338,0.9014084507042254,0.8098591549295775,0.8041958041958042,0.8321678321678322,0.8591549295774648,0.8661971830985915,0.8309859154929577,0.8531468531468531,0.8531468531468531,0.8380281690140845,0.8802816901408451,0.8732394366197183,0.8471228153592747,0.055894337570050495,2,0.18929764132790072,1.5164684893206362,0.8559254976748678,COMPLETE
