experiment_name,model_name,feature,coef,abs_coef,is_zero
219_refactoring_test,logistic_regression,cat__Deck_D,0.08210642059254084,0.08210642059254084,False
219_refactoring_test,logistic_regression,disc_binary__IsAlone,-0.06792531493078414,0.06792531493078414,False
219_refactoring_test,logistic_regression,cat__Deck_C,-0.06691083562638532,0.06691083562638532,False
219_refactoring_test,logistic_regression,cat__Embarked_S,-0.03364565764128007,0.03364565764128007,False
219_refactoring_test,logistic_regression,ord__Pclass_2,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_A,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Title_Miss,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_B,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_T,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_G,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_F,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Embarked_Q,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Title_Master,1.5296431018337857,1.5296431018337857,False
219_refactoring_test,logistic_regression,cat__Title_Mr,-1.1261217832220505,1.1261217832220505,False
219_refactoring_test,logistic_regression,ord__Pclass_3,-0.8909699697059431,0.8909699697059431,False
219_refactoring_test,logistic_regression,cat__Sex_female,0.844360889679522,0.844360889679522,False
219_refactoring_test,logistic_regression,cat__Sex_male,-0.8135629292047265,0.8135629292047265,False
219_refactoring_test,logistic_regression,cat__Title_Mrs,0.7446940456539815,0.7446940456539815,False
219_refactoring_test,logistic_regression,disc_count__FamilySize,-0.7373785251406357,0.7373785251406357,False
219_refactoring_test,logistic_regression,cat__Deck_E,0.6327827562207494,0.6327827562207494,False
219_refactoring_test,logistic_regression,cat__Title_Other,-0.5629332833236499,0.5629332833236499,False
219_refactoring_test,logistic_regression,ord__Pclass_1,0.5089049715097586,0.5089049715097586,False
219_refactoring_test,logistic_regression,cont__Age,-0.36641350422137925,0.36641350422137925,False
219_refactoring_test,logistic_regression,disc_binary__CabinKnown,0.30018459649206786,0.30018459649206786,False
219_refactoring_test,logistic_regression,cat__Embarked_C,0.2034863996470506,0.2034863996470506,False
219_refactoring_test,logistic_regression,cont__Fare,0.17062230381316565,0.17062230381316565,False
219_refactoring_test,logistic_regression,cat__Deck_C,-0.11039406637268344,0.11039406637268344,False
219_refactoring_test,logistic_regression,disc_binary__IsAlone,-0.054797834175694025,0.054797834175694025,False
219_refactoring_test,logistic_regression,cat__Embarked_S,-0.03596169866260771,0.03596169866260771,False
219_refactoring_test,logistic_regression,cat__Deck_D,0.035284310917005936,0.035284310917005936,False
219_refactoring_test,logistic_regression,ord__Pclass_2,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_A,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_B,0.0,0.0,True
